gene_locus	common_name
Z0157	sfsA
Z1257	rpsA
Z5155	yicP
Z4465	yhaR
Z4829	livK
Z1861	ycfC
Z4863	Z4863
Z0563	amtB
Z4879	ECs4354
Z3849	uncharacterized
Z0826	nagE
Z4758	pckA
Z3413	lysP
Z4029	hycE
Z1970	Z1970
Z4819	ugpE
Z2810	Z2810
Z0475	yaiY
Z5758	frdD
Z5561	rpoC
Z0180	rpsB
Z5839	ytfR
Z4207	xdhC
Z4886	yhiI
Z3132	mtfA
Z4370	ygiQ
Z5169	yidF
Z3426	fruK
Z2640	rsxG
Z0211	abc
Z5286	ppiC
Z5154	Z5154
Z2846	yeaX
Z0124	aceE
Z4030	hycD
Z5250	rbsA
Z4825	livG
Z4476	yhaD
Z1254	aroA
Z1989	AIG68109.1
Z1740	ptsG
Z5558	rplJ
Z4070	ygcB
Z4680	rplN
Z0182	pyrH
Z2016	adhE
Z1061	yliG
Z2634	rsxB
Z0535	cyoA
Z0442	Z0442
Z3842	yfhL
Z0181	tsf
Z1090	artJ
Z4086	yqcE
Z5840	ytfT
Z4883	uncharacterized
Z5855	pyrI
Z2639	ydgO
Z5294	uncharacterized
Z2743	pheS
Z0760	citE
Z0881	sucB
Z2953	araG
Z3492	yfaE
Z1971	Z1971
Z4667	rpsK
Z2754	yniA
Z4878	Z4878
Z5484	rpmE
Z2254	AIG68373.1
Z3715	Z3715
Z5559	rplL
Z2487	ordL
Z2490	ycjL
Z5209	yieG
Z4440	ygjR
Z0860	ybgH
Z0299	gpt
Z2251	Z2251
Z4122	fucR
Z5194	rpmH
Z4426	ygjG
Z0740	cstA
Z5249	rbsD
Z5496	metF
Z1228	infA
Z5875	yjgR
Z2435	ydaA
Z2751	ECs2428
Z0671	ylbB
Z4261	yggB
Z0758	ybdU
Z3956	glaH
Z5201	uncharacterized
Z5253	rbsK
Z2291	Z2291
Z5000	Z5000
Z5517	argB
Z4028	hycF
Z2704	pykF
Z2382	UNKNOWN
Z2267	yncE
Z0728	fepE
Z5409	yihM
Z1978	prsA
Z2351	ECs1117
Z2297	ECs2028
Z4669	rpmJ
Z2642	ydgQ
Z3196	wbdQ
Z4517	yhbS
Z1250	focA
Z0720	ybdK
Z2212	yddA
Z4595	mdh
Z1401	ymcA
Z3147	nac
Z4894	yhiO
Z2213	yddB
Z5976	prfC
Z2276	ydcV
Z2646	ydgR
Z3396	yohJ
Z3572	argT
Z5516	argC
Z2901	purT
Z1697	yceP
Z3847	era
Z5199	uncharacterized
Z1059	Z1059
Z4588	rpsI
Z1976	ychH
Z3422	yeiN
Z2185	yneE
Z4885	yhiH
Z4764	feoB
Z2952	araH_A
Z1245	Z1245
Z2230	rpsV
Z0073	araC
Z3788	sseA
Z5158	uhpB
Z5560	rpoB
Z2034	yciD
Z3044	dsrA
Z2622	uidA_2
Z4668	rpsM
Z3495	Z3495
Z0780	mrdB
Z3249	yegP
Z0714	ybdE
Z4857	Z4857
Z0526	yajK
Z5942	yjiS
Z5518	argH
Z0125	aceF
Z4486	ECs4012
Z1010	ybhQ
Z1117	cspD
Z4763	feoA
Z5311	leuT
Z3290	Z3290
Z1728	rpmF
Z3170	sbmC
Z5129	uncharacterized
Z0423	uncharacterized
Z4120	fucK
Z2809	Z2809
Z3397	yohK
Z4865	Z4865
Z0072	araB
Z2329	ldhA
Z3643	ddg
Z1091	artM
Z3980	proW
Z1303	rmf
Z0739	ybdB
Z3716	Z3716
Z1522	phoH
Z0504	queA
Z4545	yhbZ
Z4992	xylG
Z2731	ppsA
Z5921	uxuB
Z4858	Z4858
Z4217	ygfK
Z2430	Z2430
Z0131	speE
Z4518	yhbT
Z0340	uncharacterized
Z3848	rnc
Z0838	potE
Z1681	ymdD
Z3045	yedP
Z4622	yhdJ
Z5061	rpmB
Z4601	yhcR
Z4697	tufA
Z3259	gatY
Z4132	metW
Z4860	ECs_4335
Z4775	uncharacterized
Z5933	yjiJ
Z4617	yhdT
Z3425	fruA
Z2277	Z2277
Z3489	nrdA
Z0820	metT
Z2848	fadD
Z0505	tgt
Z2717	ydiL
Z2514	rnb
Z1276	ompF
Z1968	treA
Z5308	argX
Z3199	wbdP
Z1878	Z1878
Z0069	araD
Z3472	yojL/apbE
Z1727	yceD
Z0819	leuW
Z3026	espR
Z1521	ycdB
Z2222	ddpX
Z4884	yhhJ
Z4087	ygcE
Z1840	uncharacterized
Z5529	rrsB
Z0814	glnV
Z2808	Z2808
Z5197	yidC
Z4609	mreC
Z2565	Z2565
Z5713	proP
Z0493	yajF
Z5060	rpmG
Z4474	uncharacterized
Z5513	yijP
Z4856	Z4856
Z3668	valX
Z4956	yhjV
Z2337	Z2337
Z0955	ECs0814
Z2795	uncharacterized
Z3789	sseB
Z4531	yhbC
Z3968	stpA
Z5505	frwC_2
Z5068	rph
Z4895	uspA
Z3916	Z3916
Z3695	yfeW
Z0917	lysZ
Z5468	yiiT
Z3872	kgtP
Z4399	ribB
Z4142	ppdB
Z0500	proY
Z3918	espM2
Z5254	rbsR
Z0002	thrA
Z3710	eutJ
Z2742	pheT
Z4534	argG
Z4026	hycH
Z3440	yejG
Z0175	yaeH
Z5828	ytfK
Z0499	brnQ
Z1312	yccF
Z2005	uncharacterized
Z4302	ansB
Z0399	betB
Z4526	rpsO
Z0398	betA
Z0943	ybhC
Z5273	aspT
Z1402	ymcB
Z3825	yphG
Z3694	murP
Z5554	secE
Z3197	fcI
Z0020	uncharacterized
Z3920	Z3920
Z3771	guaA
Z0724	fepA
Z3423	yeiC
Z3729	yffB
Z2681	purR
Z1969	ycgC
