gene_locus	common_name
Z4581	yhcJ
Z0372	uncharacterized
Z2539	yciK
Z3999	alaS
Z0417	ECs0376
Z2553	yciG
Z3794	yfhE
Z4706	slyX
Z2946	flhD
Z5655	yjbQ
Z2793	gdhA
Z2275	prr
Z3415	yeiH
Z4723	yhfG
Z5024	mtlD
Z3810	hcaA2
Z4353	ECs3884
Z5649	qor
Z1265	ycbJ
Z3312	Z3312
Z0197	accA
Z1994	ychN
Z1913	ECs1803
Z1018	uncharacterized
Z5799	yjfP
Z3468	yojH
Z4489	agaA
Z5680	yjcP
Z3216	wcaG
Z0586	apt
Z2468	ycjS
Z5482	priA
Z3459	napC
Z1425	xisW
Z1441	AIG67557.1
Z3886	clpB
Z2436	ynaJ
Z3272	Z3272
Z2871	yebO
Z5681	yjcQ
Z3188	hisI
Z3730	dapE
Z0706	uncharacterized
Z5935	uncharacterized
Z4108	Z4108
Z0787	holA
Z4121	fucU
Z4790	glgP
Z5864	yjgK
Z4344	hybG
Z4242	gcvT
Z4532	metY
Z2456	ycjF
Z1937	minD
Z0771	ybeM
Z4400	uncharacterized
Z4229	prfB
Z1732	fabG
Z3165	Z3165
Z2056	ECs1776
Z1379	Z1379
Z0813	glnX
Z2347	Z2347
Z4881	Z4881
Z0308	uncharacterized
Z4189	Z4189
Z3534	nuoN
Z3522	menB
Z4720	argD
Z2311	ECs2017
Z2330	hslJ
Z3204	wbdN
Z5076	spoT
Z4823	Z4823
Z4174	ygeI
Z0243	AIG66424.1
Z2732	ydiA
Z4710	kefB
Z3189	wzzB
Z3809	hcaA1
Z0246	Z0246
Z2238	yddG
Z2179	yneH
Z0590	htpG
Z0187	yaeL/rseP
Z0551	ybaX
Z3149	asnV
Z2164	ECs2143
Z1478	uncharacterized
Z2162	ydeI
Z5212	uncharacterized
Z1551	uncharacterized
Z3182	hisD
Z0508	secF
Z3817	yphC_2
Z3504	ECs3131
Z1985	ychA
Z4280	yggG
Z0674	ylbE
Z0968	Z0968
Z0684	folD
Z4536	leuU
Z2940	tar
Z5745	uncharacterized
Z5473	yiiU
Z4791	glgA
Z2747	infC
Z4112	ygdH
Z1121	uncharacterized
Z2825	yeaI
Z5588	gltV
Z3720	talA
Z4851	ECs4326
Z1874	Z1874
Z2698	ydhX
Z4787	ECs4270
Z1592	Z1592
Z0982	ECs0844
Z2386	Z2386
Z3827	glyA
Z3987	emrB
Z0146	yadC
Z3545	nuoC
Z1541	uncharacterized
Z2902	eda
Z2219	dosC
Z6005	yjjY
Z1927	uncharacterized
Z2730	ydiD
Z4573	yhbL
Z4904	arsB
Z0840	uncharacterized
Z2427	Z2427
Z5656	yjbR
Z0857	Z0857
Z5342	pldA
Z0996	bioC
Z4198	Z4198
Z4282	Z4282
Z5670	nrfB
Z3074	Z3074
Z0347	Z0347
Z4420	rpoD
Z1053	gsiA
Z3941	uncharacterized
Z5464	tpiA
Z0201	yaeO
Z0302	phoE
Z4081	ygcR
Z2098	Z2098
Z4958	dppD
Z1725	yceC
Z2512	fabI
Z3543	nuoF
Z2540	btuR
Z3888	sfhB
Z2714	menI
Z3630	emrK
Z1282	ycbM
Z5351	metE
Z5389	mobA
Z3271	Z3271
Z0127	yacH
Z1503	ECs1251
Z3245	yegO
Z0581	aefA
Z4327	uncharacterized
Z0140	yadI
Z5179	yidP
Z0288	yafM
Z5639	ubiA
Z3388	uncharacterized
Z3581	usg
Z4340	Z4340
Z4265	pgk
Z5064	dut
Z0951	Z0951
Z0321	Z0321
Z3181	hisG
Z0895	glmS
Z2573	uncharacterized
Z4444	uxaA
Z5989	serB
Z5022	yibI
Z5568	thiE
Z0506	yajC
Z5616	Z5616
Z3146	cbl
Z3973	Z3973
Z0031	lspA
Z4968	lpfC
Z1319	rlmI
Z0294	yafO
Z1975	pth
Z5442	frvB
Z4300	yggW
Z0004	thrC
Z4714	yheT
Z5692	Z5692
Z3852	rseC
Z1097	uncharacterized
Z5188	yidA
Z3704	Z3704
Z2696	uncharacterized
Z0163	fhuD
Z3202	wbdO
Z0743	ybdL
Z3521	menC
Z4957	dppF
Z2944	motA
Z3961	gabP
Z0194	lpxB
Z4359	exbB
Z4918	chuU
Z4137	recB
Z1311	ECs1044
Z4989	xylB
Z4168	yqeJ
Z0271	Z0271
Z1510	rutB
Z1554	Z1554
Z2475	ycjM
Z1938	minC
Z0311	Z0311
Z0733	ybdA
Z0666	Z0666
Z4389	icc
Z0341	uncharacterized
Z1517	uncharacterized
Z1532	uncharacterized
Z2264	Z2264
Z3670	lysV
Z3524	menD
Z5955	tsr
Z1736	yceG
Z1095	ybjP
Z3542	nuoG
Z1458	Z1458
Z0354	ykgJ
Z4982	AIG70963.1
Z5449	rhaS
Z3386	yohF
Z4869	nikB
Z0754	rnk
Z4166	yqeH
Z4084	ygcU
Z0452	mhpE
Z2257	ECs2061
Z3690	cysP
Z1762	potD
Z2693	valW
Z4580	yhcI/nanK
Z1100	Z1100
Z5869	yjgN
Z4057	ygbE
Z5977	osmY
Z1887	AIG68018.1
Z4950	uncharacterized
Z6073	Z6073
Z2547	trpE_2
Z3667	valU
Z1004	moaE
Z3375	intV
Z0042	caiD
Z5435	fdoH
Z2032	yciB
Z3940	uncharacterized
Z3613	intC
Z2003	narJ
Z5598	yjaB
Z3025	Z3025
Z4701	yheL
Z2458	ycjX
Z4186	Z4186
Z5829	ytfL
Z4891	yhiN
Z4133	metV
Z2320	ydbD
Z5017	yibJ
Z4937	yhjG
Z0845	kdpA
Z2826	yeaJ
Z1820	ECs1559
Z0188	yaeT
Z0670	ylbA
Z0802	gltL
Z3138	shiA
Z2220	Z2220
Z1315	yccT
Z5749	yjeI
Z1283	ycbN
Z3184	hisB
Z2396	Z2396
Z5198	thdF
Z0357	yagW
Z3660	yfeA
Z4815	yhhA
Z0277	ykfE
Z4551	nlp
Z2879	ECs2542
Z3209	wcaK
Z1301	pqiB
Z1763	potC
Z5102	Z5102
Z1457	AIG67572.1
Z1869	Z1869
Z2170	marA
Z0230	yafC
Z5138	Z5138
Z2041	Z2041
Z4845	yhhQ
Z0764	citA
Z1275	aspC
Z2878	proQ
Z2312	uncharacterized
Z5746	yjeH
Z3701	hemF
Z4328	nleB1
Z5784	purA
Z3639	frc
Z0664	ybbV
Z2127	Z2127
Z3414	yeiE
Z0976	ECs0838
Z5495	metL
Z4973	yhjY
Z1713	flgD
Z1295	ycbW
Z4221	ygfO
Z3432	yeiR
Z3092	ECs2957
Z4085	ygcW
Z5651	alr
Z2533	yciX
Z1972	ycgV
Z5612	pepE
Z5730	yjdK
Z4655	smg
Z0407	yahD
Z3442	rsuA
Z1320	yccX
Z0997	bioD1
Z4128	ygdK
Z4275	yggF
Z1817	Z1817
Z3163	yeeT
Z6023	uncharacterized
Z4717	yhfA
Z2930	yecT
Z1672	csgE
Z0900	cydA
Z4038	hypD
Z1395	appC
Z0370	ycjY
Z4306	mutY
Z2706	ynhG
Z3984	ygaH
Z0441	lacI
Z1069	cmr
Z5533	gltT
Z0083	leuA
Z5054	waaP
Z1481	uncharacterized
Z5002	Z5002
Z2224	Z2224
Z2583	clcB
Z4600	yhcQ
Z3389	yohI/dusC
Z5481	cytR
Z0263	uncharacterized
Z5718	adiY
Z4734	frlD
Z1749	ycfJ
Z2905	yebK
Z5953	yjiY
Z3022	yedL
Z6004	arcA
Z2624	hdhA
Z0030	ileS
Z3684	pdxK
Z0756	ybdS
Z2001	narG
Z1781	Z1781
Z0033	slpA
Z2969	Z2969
Z2551	trpA
Z5990	sms
Z0926	galM
Z2669	gloA
Z4123	ygdE
Z3963	ygaE
Z1406	cspG
Z5119	escN
Z3419	yeiK
Z4106	yqcA
Z2537	yciN
Z2253	Z2253
Z5790	yjfK
Z3187	hisF
Z3183	hisC
Z5425	rbn
Z5048	rfaC
Z2949	otsA
Z0765	citB
Z4345	hybF
Z4037	hypC
Z1838	uncharacterized
Z0376	ykgA
Z0168	yadS
Z2609	rstA
Z5234	atpF
Z3421	yeiM
Z1879	Z1879
Z4066	Z4066
Z2088	uncharacterized
Z5462	sbp
Z3508	Z3508
Z5871	holC
Z0447	mhpC
Z3053	vsr
Z4794	glgX
Z4114	sdaB
Z4279	tktA
Z0208	rcsF
Z0120	ampD
Z3549	lrhA
Z0044	caiB
Z3229	yegH
Z5084	yicI
Z3759	hda
Z3255	gatC
Z1786	Z1786
Z1280	pepN
Z2069	Z2069
Z1733	acpP
Z3171	dacD
Z0834	ybfE
Z3946	Z3946
Z5360	tatC
Z1278	asnS
Z3787	Z3787
Z5233	atpH
Z4248	ssrS
Z1547	Z1547
Z2417	dbpA
Z1417	yccD
Z3652	fryC
Z1332	Z1332
Z4998	yiaI
Z4525	pnp
Z4866	Z4866
Z0252	Z0252
Z4004	mltB
Z1701	grxB
Z5070	dinD
Z0344	Z0344
Z0186	cdsA
Z2903	edd
Z4947	yhjN
Z2869	yobF
Z4324	ECs3853
Z0825	nagB
Z4616	accC
Z3086	Z3086
Z5770	glyV
Z4107	truC
Z3366	Z3366
Z1045	Z1045
Z3583	div
Z6012	uncharacterized
Z4805	gntK
Z2973	Z2973
Z5724	fumB
Z5391	yihE/srkA
Z0345	uncharacterized
Z3859	srmB
Z1086	ybjF
Z2103	ECs2192
Z4510	yraQ
Z0578	acrA
Z3536	nuoM
Z0606	ybaS
Z4971	lpfA
Z1386	uncharacterized
Z2406	ydaD
Z5223	Z5223
Z4383	uncharacterized
Z0923	Z0923
Z0642	ybbK
Z5120	escV
Z1001	moaB
Z2365	Z2365
Z0021	uncharacterized
Z3057	ECs2702
Z1232	trxB
Z2100	ECs2195
Z4848	yhhT
Z3380	yehZ
Z4623	yhdU
Z2542	Z2542
Z2059	Z2059
Z4742	aroB
Z5227	glmS
Z4330	ECs3859
Z4919	hmuV
Z1208	AIG67318.1
Z1323	Z1323
Z4386	Z4386
Z4349	hybB
Z3252	yegS
Z0360	yagZ/ecpA
Z4325	AIG70344.1
Z2008	purU
Z0029	ribF
Z4873	yhhG
Z4381	fitR
Z2227	ddpF
Z4417	ygjD
Z2152	uncharacterized
Z4422	ileX
Z0529	yajQ
Z3169	yeeA
Z0789	leuS
Z1993	chaC
Z4079	Z4079
Z2862	manZ
Z4432	ygjJ
Z5313	aslB
Z3960	gabT
Z1305	ycbZ
Z0928	galT
Z4039	hypE
Z1008	ybhO
Z4307	yggX
Z3736	nlpB
Z3816	yphB
Z5103	escF
Z1683	mdoG
Z1479	Z1479
Z0513	yajI
Z5228	glmU
Z2657	slyA
Z5469	fpr
Z4732	yhfN
Z0793	uncharacterized
Z3359	uncharacterized
Z3586	fabB
Z5065	ttk
Z0136	hpt
Z1842	Z1842
Z4424	yqjI
Z4115	exo
Z3776	ECs3375
Z5900	ECs5262
Z0949	ECs0806
Z1066	dacC
Z1526	ycdS
Z5504	frwC_1
Z2228	osmC
Z2075	uncharacterized
Z5771	glyX
Z1474	borW
Z2570	ynfB
Z0863	ybgK
Z0711	ylcB
Z0266	Z0266
Z3590	yfcA
Z0827	glnS
Z2166	ydeF
Z0980	ECs0842
Z1772	Z1772
Z3773	xseA
Z0722	hokE
Z5564	thiH
Z5823	ytfH
Z2621	uidA_1
Z2861	manY
Z1435	exoW
Z0785	phpB
Z5551	glyT
Z2619	Z2619
Z0966	ECs0828
Z2182	dgcF
Z3268	thiM
Z4225	ygfT
Z1281	ycbE
Z2853	yoaC
Z3355	Z3355
Z0434	cynR
Z0788	rlpB
Z2450	ycjG
Z3734	ypfJ
Z5334	Z5334
Z4247	ygfE
Z0043	caiC
Z4702	yheM
Z2677	ydhO
Z5238	atpI
Z2798	ydjA
Z1462	argN
Z0139	yadH
Z0184	yaeM/dxr
Z4927	yhiV
Z0832	fldA
Z4628	yhdV
Z0035	yaaF
Z1003	moaD
Z5460	pfkA
Z0719	ybdJ
Z5046	rfaD
Z2242	Z2242
Z1671	csgF
Z3689	cysU
Z2592	ydgD
Z2766	celC
Z1555	uncharacterized
Z2036	intO
Z4220	xdhD
Z3629	emrY
Z4903	arsR
Z3708	eutH
Z2906	pykA
Z3692	yfeT
Z3724	yffG
Z2648	pdxY
Z5585	rrsE
Z1007	ybhN
Z4367	uncharacterized
Z5171	yidH
Z4458	yhaI
Z0518	nusB
Z5296	wzzE
Z2998	cysT
Z2968	ECs2619
Z5441	frvX
Z0659	ybbT
Z1285	ycbP
Z0380	ykgI
Z2357	AIG67488.1
Z2378	AIG68236.1
Z2412	lar
Z3319	Z1813
Z3731	ypfN
Z3447	yejM
Z6075	uncharacterized
Z0393	uncharacterized
Z4659	sun
Z5288	rep
Z3186	hisA
Z5392	dsbA
Z5964	yjjP
Z4586	sspB
Z2498	sapC
Z4269	Z4269
Z0894	Z0894
Z2979	Z2979
Z0210	yaeE
Z2823	yeaG
Z1243	ycaC
Z5135	escR
Z1813	uncharacterized
Z0445	mhpA
Z3637	oxc
Z4065	Z4065
Z3899	yfiB
Z0680	ppiB
Z3246	yegB
Z4997	avtA
Z2355	ECs2726
Z5307	yifK
Z3430	yeiP
Z1894	ECs1640
Z2579	Z2579
Z4448	exuR
Z4495	agaI_1
Z5025	mtlR
Z4209	ygeW
Z2800	ECs2473
Z3814	hcaD
Z3159	ECs2792
Z5576	hupA
Z0766	dcuC
Z0107	yacA
Z5494	metB
Z5643	dinF
Z0472	yaiH
Z3947	uncharacterized
Z0804	gltJ
Z1043	ybiU
Z5870	valS
Z1548	Z1548
Z2165	AIG68289.1
Z4283	speA
Z4912	ECs4381
Z5114	Z5114
Z4776	uncharacterized
Z3445	yejK
Z4190	Z4190
Z1739	ycfH
Z1480	uncharacterized
Z3727	acrD
Z4644	ileU
Z0604	ybaR/copA
Z5874	yjgQ
Z2799	sppA
Z3611	yfdC
Z2700	ydhW
Z5714	basS
Z1096	uncharacterized
Z2719	Z2719
Z5676	gltP
Z5163	uncharacterized
Z1898	ECs1643
Z4741	damX
Z4303	yggN
Z4408	ygiM
Z1986	kdsA
Z4984	glyQ
Z0322	ECs0288
Z3865	yfiF
Z3868	yfiP
Z5620	yjbC
Z0047	fixA
Z5650	dnaB
Z0635	Z0635
Z0291	mbhA
Z0591	adk
Z1823	ECs1561
Z0570	ylaC
Z2243	narU
Z4613	uncharacterized
Z0202	Z0202
Z1941	ycgL
Z1388	serT
Z5455	yiiM
Z5063	dfp
Z1258	himD
Z1756	ycfT
Z3133	asnT
Z1822	ECs1560
Z0509	parD
Z4557	yrbE
Z3260	uncharacterized
Z2148	ECs2716
Z4316	Z4316
Z4387	parE
Z0169	yadT
Z4130	mltA
Z1272	ycbB
Z4512	yhbO
Z5913	fimI
Z4443	ygjV
Z5984	deoA
Z4946	yhjM
Z1454	ECs1196
Z3376	yehV
Z4270	Z4270
Z1307	ompA
Z4201	Z4201
Z2467	ycjT
Z5279	ilvG
Z5833	ytfP
Z4817	ugpQ
Z3851	lepA
Z4113	sdaC
Z5792	yjfM
Z2496	sapB
Z1841	uncharacterized
Z5748	mopA
Z2304	gapC
Z5047	rfaF
Z4777	Z4777
Z4987	yiaA
Z2964	yecA
Z0349	yagQ
Z1847	Z1847
Z4809	yhhY
Z0975	ECs0837
Z5445	yiiL
Z5401	uncharacterized
Z1921	Z1921
Z4952	yhjS
Z0864	ybgL
Z3048	yodC
Z4935	yhjD
Z4311	yqgA
Z4593	degQ
Z0929	galE
Z1773	Z1773
Z4297	yggT
Z0049	fixC
Z0681	cysS
Z0183	frr
Z5108	sepL
Z5116	sepQ
Z0549	ybaV
Z1284	ycbO
Z2581	dmsD
Z0232	yafD
Z3635	yfdV
Z0162	fhuC
Z4959	dppC
Z1025	ybiX
Z2055	ECs1774
Z4006	srlA_2
Z3537	nuoL
Z2831	yeaM
Z4897	yhiQ
Z1630	Z1630
Z3299	Z3299
Z3698	Z3698
Z2650	tyrS
Z2988	ECs2642
Z0077	tbpA
Z4267	Z4267
Z0174	yaeG
Z0682	ybcI
Z1032	glnP
Z3770	Z3770
Z1707	mviN
Z0858	ybgA
Z5865	yjgL
Z1170	Z1170
Z5715	basR
Z2908	yebA
Z2118	ECs1093
Z2654	anmK
Z3777	hisS
Z2009	ychJ
Z1081	potF
Z5617	Z5617
Z5131	Z5131
Z1956	mltE
Z4326	ECs3855
Z4155	galR
Z5805	sgaH/ulaD
Z3247	baeS
Z5848	nrdD
Z0265	uncharacterized
Z3365	ECs3000
Z4373	parC
Z5178	Z5178
Z0749	ahpC
Z5580	hydG
Z4441	ygjT
Z4187	epaR1
Z4743	aroK
Z2691	ydhQ
Z0295	yafP
Z0435	cynT
Z0995	bioF
Z5111	cesT
Z4047	ecdB
Z4651	yrdB
Z0993	bioA
Z4036	hypB
Z2856	yeaB
Z3168	yeeX
Z3589	Z3589
Z4053	ygbO
Z5085	yicJ
Z3606	uncharacterized
Z4960	dppB
Z0891	Z0891
Z4018	norV
Z1380	Z1380
Z3242	uncharacterized
Z3657	uncharacterized
Z2428	Z2428
Z2371	Z2371
Z1877	Z1877
Z3001	uvrC
Z0589	recR
Z4452	yqjD
Z0647	tesA
Z3064	msrQ
Z0494	araJ
Z5706	phnE
Z2402	Z2402
Z4071	hokG
Z1961	prrA
Z1461	ileZ
Z2989	Z2989
Z4652	aroE
Z0101	murC
Z1958	uncharacterized
Z4125	gcvA
Z5293	rho
Z3844	acpS
Z3458	ccmA
Z0126	lpdA
Z0422	UNKNOWN
Z0683	ybcJ
Z1613	terC_2
Z2038	uncharacterized
Z0564	tesB
Z4704	yheO
Z0025	espX1
Z1821	uncharacterized
Z2597	pntB
Z3058	Z3058
Z4561	yrbI
Z0262	Z0262
Z4290	endA
Z3567	yfcI
Z1936	minE
Z4493	agaC
Z4429	ebgA
Z4592	yhcB
Z1930	Z1930
Z3929	uncharacterized
Z3952	ileY
Z5506	frwB
Z5608	arp
Z5107	espA
Z4475	rnpB
Z1009	ybhP
Z0753	uncharacterized
Z4596	argR
Z0050	fixX
Z4564	yhbG
Z5413	yihP
Z3164	yeeU
Z0686	sfmA
Z3465	napF
Z2806	ECs2478
Z3651	Z3651
Z1448	AIG67562.1
Z0770	crcB
Z4152	Z4152
Z0255	Z0255
Z3705	eutC
Z5056	waaQ
Z5589	rrlE
Z0061	pdxA
Z5862	yjgJ
Z4375	ygiV
Z3688	cysW
Z3683	crr
Z1447	AIG67561.1
Z5863	uncharacterized
Z5891	uncharacterized
Z4397	ygiE
Z0141	yadE
Z5248	kup
Z3796	iscU
Z0851	uncharacterized
Z5278	ilvL
Z4009	srlE_2
Z0669	ybbZ
Z4756	yhgE
Z5843	yjfG
Z4313	Z4313
Z3017	amyA
Z3446	yejL
Z0068	polB
Z4964	yhjW
Z4831	yhhK
Z2797	selD
Z4456	yqjG
Z4384	Z4384
Z0205	yaeF
Z1759	ycfW
Z3551	Z3551
Z1334	Z1334
Z1525	ycdR
Z5767	yjeQ
Z5319	hemC
Z0074	yabI
Z1359	AIG68657.1
Z1292	ECs1027
Z4721	pabA
Z0587	dnaX
Z2318	ynbB
Z4045	Z4045
Z6065	Z6065
Z0094	ftsI
Z0235	dniR
Z0016	gef
Z4210	ygeX
Z4566	yhbH
Z4288	galP
Z2873	yobH
Z4308	mltC
Z5289	gppA
Z4537	secG
Z4305	yggH
Z1342	Z1342
Z5244	asnC
Z0437	cynX
Z3055	yedJ
Z5725	dcuB
Z3014	fliD
Z5142	uncharacterized
Z3597	Z3597
Z1431	uncharacterized
Z5332	Z5332
Z1279	pncB
Z5088	Z5088
Z3563	yfcF
Z4019	ygbD
Z0511	yajD
Z3700	amiA
Z4244	ubiH
Z1220	Z1220
Z1769	Z1769
Z3012	fliA
Z1082	potG
Z0981	lomK
Z5264	rrlC
Z4509	yraP
Z5902	ECs5264
Z1464	stx2A
Z2970	coxT
Z4338	Z4338
Z5993	yjjK
Z1074	ybjL
Z2760	cedA
Z4253	iciA
Z0985	Z0985
Z3813	hcaB
Z4988	yiaB
Z2558	uncharacterized
Z5778	miaA
Z5806	sgaU
Z3982	ygaY
Z1757	ycfU
Z4899	yhiR
Z2033	yciC
Z4926	yhiU
Z5433	fdhE
Z3933	Z3933
Z5192	dnaN
Z2939	tap
Z4570	yrbL
Z1469	Z1469
Z4160	ygeA
Z3678	zipA
Z5325	yifL
Z5779	hfq
Z0350	yagR
Z4645	rrsD
Z2882	yebU
Z5821	ytfF
Z3721	tktB
Z4738	gph
Z1370	ECs1549
Z4535	yhbX
Z2997	leuZ
Z5026	yibL
Z6069	Z6069
Z2627	malY
Z2534	AIG68599.1
Z3578	accD
Z0333	psuI
Z4736	yhfR
Z0855	uncharacterized
Z2096	uncharacterized
Z0478	yaiB
Z5337	uncharacterized
Z2723	ydiO
Z3483	yfaA
Z1963	Z1963
Z2752	pfkB
Z5948	Z5948
Z5707	phnD
Z4737	trpS
Z4605	cafA
Z2071	Z2071
Z5890	ECs5253
Z0001	thrL
Z5944	uncharacterized
Z3588	yfcL
Z5100	espF
Z1028	ybiN
Z1826	Z1826
Z2626	malX
Z1987	AIG68108.1
Z1219	uncharacterized
Z3807	hcaT
Z2262	vgrE
Z3997	serV
Z4050	nlpD
Z3911	yfjF
Z0143	yadD
Z0658	ybbS
Z3131	serU
Z5492	yiiX
Z4730	yhfL
Z3150	erfK
Z1679	ymdB
Z4867	acpT
Z3647	Z3647
Z2740	btuC
Z4482	yhaV
Z6030	ECs2235
Z4410	bacA
Z0359	yagY
Z5949	Z5949
Z5217	pstA
Z5478	hslU
Z2984	ECs2638
Z0641	ybbJ
Z2310	uncharacterized
Z1965	fecD
Z0957	uncharacterized
Z0185	yaeS/uppS
Z2585	bioD2
Z3945	ECs3512
Z0468	hemB
Z2587	mlc
Z5058	kdtB
Z5127	cesD
Z4374	ygiS
Z2181	uncharacterized
Z0364	ykgM
Z1832	pepT
Z1153	Z1153
Z1193	uncharacterized
Z1214	Z1214
Z1687	uncharacterized
Z2364	AIG67481.1
Z3322	Z3322
Z2943	motB
Z2516	yciR
Z0023	Z0023
Z5170	yidG
Z0903	ybgE
Z0596	gsk
Z2421	dgcM
Z2907	msbB
Z2348	UNKNOWN
Z3926	uncharacterized
Z5961	dnaC
Z5787	yjfH
Z1318	yccV
Z2859	yoaE
Z0284	ECs0252
Z3050	yedA
Z5211	espY4
Z3205	galF
Z0837	pgm
Z4615	accB
Z3709	eutG
Z2837	yeaQ
Z4355	yqhA
Z5190	gyrB
Z1099	ybjQ
Z6028	lomP
Z4705	fkpA
Z0209	yaeC
Z1550	Z1550
Z3745	hyfE
Z4953	yhjT
Z5850	treB
Z0045	caiA
Z0886	cobO
Z4841	yhhM
Z2023	oppF
Z4490	agaS
Z4173	ygeH
Z5493	metJ
Z1345	Z1345
Z4342	gsp
Z0543	clpX
Z1780	Z1780
Z2866	yebH
Z5344	yigJ
Z0709	ylcA
Z1432	Z1432
Z4752	yrfF
Z4514	yhbP
Z5432	yiiF
Z4061	iap
Z3592	aroC
Z4060	cysD
Z1031	glnQ
Z2703	fumD
Z0473	sbmA
Z4967	lpfC’
Z3179	uncharacterized
Z2099	Z2099
Z3654	glk
Z5371	trkH
Z5711	yjdA
Z5615	Z5615
Z2017	ychE
Z5849	treC
Z1509	rutC
Z4483	agaR
Z3891	pheA
Z5979	yjjU
Z0091	yabB
Z5331	Z5331
Z2753	ydiZ
Z1022	ybiC
Z2269	Z2269
Z0871	ybgQ
Z0491	uncharacterized
Z0958	AIG67063.1
Z1533	Z1533
Z5822	ytfG
Z3224	wzc
Z6026	Z6026
Z4909	yhiF
Z1793	ECs1088
Z5087	intL
Z3862	yfiD
Z2787	Z2787
Z1336	uncharacterized
Z5647	yjbN
Z4252	rpiA
Z0005	yaaX
Z1428	ECs1163
Z4194	Z4194
Z2048	Z2048
Z1778	Z1778
Z0893	game
Z1021	ybiB
Z1046	Z1046
Z2271	Z2271
Z6068	uncharacterized
Z6064	uncharacterized
Z4224	ygfS
Z4072	cysH
Z3797	yfhO
Z0121	ampE
Z2987	Z2987
Z3274	yohM
Z5621	yjbD
Z3511	arnB
Z0100	murG
Z0588	ybaB
Z4167	yqeI
Z0367	Z0367
Z1207	Z1207
Z1912	ECs_2241
Z2342	Z2342
Z6046	AIG67927.1
Z1434	Z1434
Z5028	Z5028
Z2608	ydgC
Z5106	espD
Z3279	yehD
Z4965	lpfE
Z0516	ribH
Z1800	AIG68474.1
Z1737	tmk
Z1668	ycdY
Z0446	mhpB
Z4421	ygjF
Z5018	yibG
Z3477	rcsC
Z0569	ylaB
Z4322	uncharacterized
Z4718	crp
Z4778	rtcA
Z4312	pheV
Z4995	bax
Z0767	crcA
Z5479	hslV
Z0361	ykgK
Z3976	nrdI
Z1931	omit
Z5292	rhoL
Z0571	ylaD
Z2289	tehA
Z0062	surA
Z4356	yghA
Z3024	intG
Z4348	hybC
Z5708	phnC
Z3467	eco
Z4376	ygiW
Z2701	ydhV
Z0830	ybfN
Z0757	citG
Z5945	symE
Z1340	Z1340
Z5137	Z5137
Z0453	mhpT
Z2040	Z2040
Z0648	ybbA
Z1396	appB
Z2967	Z2967
Z4658	fmt
Z0086	leuO
Z2156	ydfZ
Z4784	glpG
Z5219	pstS
Z5281	ilvE
Z5963	yjjB
Z3828	hmpA
Z0237	yafS
Z1080	ybjN
Z4056	ftsB
Z0328	Z0328
Z1106	Z1106
Z5033	yibK
Z4411	ygiG
Z2395	uncharacterized
Z2716	Z2716
Z1870	Z1870
Z2404	sieB
Z4431	ygjI
Z0946	AIG67049.1
Z2077	uncharacterized
Z4779	rtcB
Z4240	gcvP
Z3612	argW
Z3741	hyfA
Z1805	AIG68470.1
Z2500	sapF
Z6062	Z6062
Z5722	melB
Z5093	Z5093
Z3041	rcsA
Z2013	hns
Z6025	uncharacterized
Z4347	hybD
Z1252	ycaP
Z4341	pitB
Z4612	yhdH
Z4713	yheS
Z3875	rrlG
Z2544	yciV
Z0962	uncharacterized
Z4780	rtcR
Z5476	menG
Z3799	trmJ
Z1238	ycaJ
Z5645	yjbK
Z2678	sodB
Z4796	glgB
Z0059	apaG
Z1308	sulA
Z1064	yliJ
Z0772	ybeC
Z3905	ypjD
Z0752	ybdR
Z1482	uncharacterized
Z4011	srlB
Z0008	talB
Z4331	uncharacterized
Z0087	ilvI
Z2015	tdk
Z3063	msrP
Z1429	Z1429
Z0256	Z0256
Z0316	Z0316
Z0938	ybhE
Z3276	Z3276
Z1844	uncharacterized
Z2340	AIG68450.1
Z3866	uncharacterized
Z0836	seqA
Z4740	dam
Z1981	hemA
Z5687	ECs5069
Z1873	rus
Z0803	gltK
Z5926	yjiE
Z1902	Z1902
Z5399	spf
Z2728	ydiS
Z5625	yjbF
Z1047	ybiY
Z0264	Z0264
Z1782	uncharacterized
Z2872	mgrB
Z0485	yaiA
Z2962	yecH
Z5083	yicH
Z4506	yraM
Z0707	Z0707
Z5222	Z5222
Z5807	sgaE
Z3305	Z3305
Z1760	ycfX
Z5677	yjcO
Z1765	xisN
Z2804	uncharacterized
Z3371	Z3371
Z0247	Z0247
Z1105	poxB
Z4175	pbl
Z0466	tauC
Z0602	ybaQ
Z5872	pepA
Z5686	Z5686
Z2091	uncharacterized
Z3314	ECs1986
Z3482	uncharacterized
Z2911	yebI
Z4361	metC
Z0615	AIG66770.1
Z2002	narH
Z1242	dmsC
Z5274	trpT
Z0573	hha
Z3079	AIG69162.1
Z2045	uncharacterized
Z5985	deoB
Z3513	arnA
Z1027	ybiM
Z0099	ftsW
Z1557	Z1557
Z5011	selB
Z4222	ygfP
Z1344	Z1344
Z3254	gatD
Z5671	nrfC
Z4954	yhjU
Z3927	uncharacterized
Z5567	thiF
Z4243	visC
Z5073	yicF
Z4425	aer
Z4025	hycI
Z0249	uncharacterized
Z4451	yqjC
Z4833	Z4833
Z2196	Z2196
Z4391	yqiE/nudF
Z2400	Z2400
Z5986	deoD
Z4941	yhjJ
Z0954	uncharacterized
