protein_A	protein_B	UniProt ID (protein_A)	UniProt ID (protein_B)	source
mdtF__b3514__JW3482	acrB__b0462__JW0451	P37637	P31224	LIT
tolC__b3035__JW5503	acrB__b0462__JW0451	P02930	P31224	LIT
acrA__b0463__JW0452	acrD__b2470__JW2454	P0AE06	P24177	LIT
tufB__b3980__JW3943	acrF__b3266__JW3234	P0A6N1	P24181	LIT
acrR__b0464__JW0453	acrR__b0464__JW0453	P0ACS9	P0ACS9	Y2H
argK__b2918__JW2885	acrR__b0464__JW0453	P27254	P0ACS9	Y2H
arpB__b1721__JW1710	acrR__b0464__JW0453	NoData	P0ACS9	Y2H
astE__b1744__JW1733	acrR__b0464__JW0453	P76215	P0ACS9	Y2H
bglG__b3723__JW3701	acrR__b0464__JW0453	P11989	P0ACS9	Y2H
ccmA__b2201__JW5366	acrR__b0464__JW0453	P33931	P0ACS9	Y2H
evgA__b2369__JW2366	acrR__b0464__JW0453	P0ACZ4	P0ACS9	Y2H
frlR__b3375__JW5698	acrR__b0464__JW0453	P45544	P0ACS9	Y2H
glpD__b3426__JW3389	acrR__b0464__JW0453	P13035	P0ACS9	LIT
hdfR__b4480__JW5607	acrR__b0464__JW0453	P0A8R9	P0ACS9	Y2H
tolB__b0740__JW5100	acrR__b0464__JW0453	P0A855	P0ACS9	Y2H
ybdM__b0601__JW0594	acrR__b0464__JW0453	P77174	P0ACS9	Y2H
ycbW__b0946__JW5125	acrR__b0464__JW0453	P75862	P0ACS9	Y2H
yeaZ__b1807__JW1796	acrR__b0464__JW0453	P76256	P0ACS9	Y2H
yegL__b2073__JW2058	acrR__b0464__JW0453	P76396	P0ACS9	Y2H
ygiT__b3021__JW2989	acrR__b0464__JW0453	Q46864	P0ACS9	Y2H
ygiZ__b3027__JW2995	acrR__b0464__JW0453	NoData	P0ACS9	Y2H
yibT__b4554__JW3576	acrR__b0464__JW0453	Q2M7R5	P0ACS9	Y2H
yifE__b3764__JW3737	acrR__b0464__JW0453	P0ADN2	P0ACS9	Y2H
ymbA__b0952__JW5127	acrR__b0464__JW0453	P0AB10	P0ACS9	Y2H
actP__b4067__JW4028	actP__b4067__JW4028	P32705	P32705	LIT
dnaJ__b0015__JW0014	add__b1623__JW1615	P08622	P22333	LIT
rpsB__b0169__JW0164	adhE__b1241__JW1228	P0A7V0	P0A9Q7	LIT
rplO__b3301__JW3263	adiA__b4117__JW5731	P02413	P28629	LIT
groL__b4143__JW4103	adiY__b4116__JW4077	P0A6F5	P33234	LIT
murD__b0088__JW0086	aegA__b2468__JW2452	P14900	P37127	LIT
malT__b3418__JW3381	aes__b0476__JW0465	P06993	P23872	LIT
gshA__b2688__JW2663	afuC__b0262__JW0254	P0A6W9	P37009	Y2H
tufB__b3980__JW3943	afuC__b0262__JW0254	P0A6N1	P37009	Y2H_LIT
ahpC__b0605__JW0598	ahpC__b0605__JW0598	P0AE08	P0AE08	Y2H
alsE__b4085__JW4046	ahpF__b0606__JW0599	P32719	P35340	LIT
tyrR__b1323__JW1316	ahpF__b0606__JW0599	P07604	P35340	LIT
aceF__b0115__JW0111	aidB__b4187__JW5867	P06959	P33224	LIT
cbpA__b1000__JW0985	aidB__b4187__JW5867	P36659	P33224	LIT
groL__b4143__JW4103	aidB__b4187__JW5867	P0A6F5	P33224	LIT
rpsF__b4200__JW4158	aidB__b4187__JW5867	P02358	P33224	LIT
rpsG__b3341__JW3303	aidB__b4187__JW5867	P02359	P33224	LIT
ybaX__b0444__JW0434	aidB__b4187__JW5867	P77756	P33224	LIT
glmS__b3729__JW3707	alaS__b2697__JW2667	P17169	P00957	LIT
topA__b1274__JW1266	alaS__b2697__JW2667	P06612	P00957	LIT
tufB__b3980__JW3943	alaS__b2697__JW2667	P0A6N1	P00957	LIT
ydfR__b1555__JW1547	alaS__b2697__JW2667	P76160	P00957	LIT
uup__b0949__JW0932	aldA__b1415__JW1412	P43672	P25553	LIT
dnaK__b0014__JW0013	aldB__b3588__JW3561	P0A6Y8	P37685	LIT
aceF__b0115__JW0111	alkA__b2068__JW2053	P06959	P04395	LIT
ybbS__b0504__JW0492	allC__b0516__JW0504	P0ACR0	P77425	Y2H
allR__b0506__JW0494	allR__b0506__JW0494	P0ACN4	P0ACN4	Y2H
dnaC__b4361__JW4325	alr__b4053__JW4013	P0AEF0	P0A6B4	LIT
groL__b4143__JW4103	alsA__b4087__JW4048	P0A6F5	P32721	LIT
