protein_A	protein_B	UniProt ID (protein_A)	UniProt ID (protein_B)	source
malT__b3418__JW3381	fliJ__b1942__JW1926	P06993	P52613	Y2H_LIT
fliM__b1945__JW1929	fliL__b1944__JW1928	P06974	P0ABX8	LIT
cheZ__b1881__JW1870	fliM__b1945__JW1929	P0A9H9	P06974	LIT
fliF__b1938__JW1922	fliM__b1945__JW1929	P25798	P06974	LIT
fliM__b1945__JW1929	fliM__b1945__JW1929	P06974	P06974	Y2H_LIT
glpQ__b2239__JW2233	fliM__b1945__JW1929	P09394	P06974	LIT
rpe__b3386__JW3349	fliM__b1945__JW1929	P0AG07	P06974	LIT
cheR__b1884__JW1873	fliN__b1946__JW1930	P07364	P15070	LIT
fliM__b1945__JW1929	fliN__b1946__JW1930	P06974	P15070	Y2H_LIT
fliN__b1946__JW1930	fliN__b1946__JW1930	P15070	P15070	Y2H_LIT
proS__b0194__JW0190	fliN__b1946__JW1930	P16659	P15070	LIT
rpe__b3386__JW3349	fliN__b1946__JW1930	P0AG07	P15070	LIT
fliL__b1944__JW1928	fliO__b1947__JW5316	P0ABX8	P22586	LIT
flgD__b1075__JW1062	fliQ__b1949__JW1933	P75936	P0AC07	LIT
flgJ__b1081__JW1068	fliR__b1950__JW1934	P75942	P33135	LIT
fliN__b1946__JW1930	fliR__b1950__JW1934	P15070	P33135	LIT
fliR__b1950__JW1934	fliR__b1950__JW1934	P33135	P33135	LIT
metK__b2942__JW2909	fliR__b1950__JW1934	P0A817	P33135	LIT
rpe__b3386__JW3349	fliR__b1950__JW1934	P0AG07	P33135	LIT
flgH__b1079__JW5153	fliS__b1925__JW1910	P0A6S0	P26608	LIT
flgJ__b1081__JW1068	fliS__b1925__JW1910	P75942	P26608	LIT
fliD__b1924__JW1909	fliS__b1925__JW1910	P24216	P26608	LIT
fliI__b1941__JW1925	fliS__b1925__JW1910	P52612	P26608	LIT
fliT__b1926__JW1911	fliS__b1925__JW1910	P0ABY2	P26608	LIT
glpQ__b2239__JW2233	fliS__b1925__JW1910	P09394	P26608	LIT
gyrA__b2231__JW2225	fliS__b1925__JW1910	P0AES4	P26608	LIT
rpe__b3386__JW3349	fliS__b1925__JW1910	P0AG07	P26608	LIT
yjeK__b4146__JW4106	fliS__b1925__JW1910	P39280	P26608	LIT
baeR__b2079__JW2064	fliT__b1926__JW1911	P69228	P0ABY2	Y2H
cheA__b1888__JW1877	fliT__b1926__JW1911	P07363	P0ABY2	LIT
flgH__b1079__JW5153	fliT__b1926__JW1911	P0A6S0	P0ABY2	LIT
flgJ__b1081__JW1068	fliT__b1926__JW1911	P75942	P0ABY2	LIT
flgM__b1071__JW1058	fliT__b1926__JW1911	P0AEM4	P0ABY2	LIT
flhD__b1892__JW1881	fliT__b1926__JW1911	P0A8S9	P0ABY2	LIT
fliD__b1924__JW1909	fliT__b1926__JW1911	P24216	P0ABY2	Y2H_LIT
fliI__b1941__JW1925	fliT__b1926__JW1911	P52612	P0ABY2	LIT
fliJ__b1942__JW1926	fliT__b1926__JW1911	P52613	P0ABY2	LIT
fliT__b1926__JW1911	fliT__b1926__JW1911	P0ABY2	P0ABY2	Y2H_LIT
glpQ__b2239__JW2233	fliT__b1926__JW1911	P09394	P0ABY2	LIT
metK__b2942__JW2909	fliT__b1926__JW1911	P0A817	P0ABY2	LIT
rpe__b3386__JW3349	fliT__b1926__JW1911	P0AG07	P0ABY2	LIT
yjeK__b4146__JW4106	fliT__b1926__JW1911	P39280	P0ABY2	LIT
flgK__b1082__JW1069	fliZ__b1921__JW1906	P33235	P52627	LIT
hypE__b2730__JW2700	fliZ__b1921__JW1906	P24193	P52627	Y2H
flu__b2000__JW1982	flu__b2000__JW1982	P39180	P39180	LIT
dapD__b0166__JW0161	flxA__b1566__JW1558	P0A9D8	P77609	Y2H
flxA__b1566__JW1558	flxA__b1566__JW1558	P77609	P77609	Y2H
folA__b0048__JW0047	flxA__b1566__JW1558	P0ABQ4	P77609	Y2H
infA__b0884__JW0867	flxA__b1566__JW1558	P69222	P77609	Y2H
ispA__b0421__JW0411	flxA__b1566__JW1558	P22939	P77609	Y2H_LIT
JW0653	flxA__b1566__JW1558	NoData	P77609	Y2H
lpxB__b0182__JW0177	flxA__b1566__JW1558	P10441	P77609	Y2H
murC__b0091__JW0089	flxA__b1566__JW1558	P17952	P77609	Y2H
nadE__b1740__JW1729	flxA__b1566__JW1558	P18843	P77609	Y2H
pal__b0741__JW0731	flxA__b1566__JW1558	P0A912	P77609	Y2H
pyrH__b0171__JW0166	flxA__b1566__JW1558	P0A7E9	P77609	Y2H
ribD__b0414__JW0404	flxA__b1566__JW1558	P25539	P77609	Y2H
thiL__b0417__JW0407	flxA__b1566__JW1558	P0AGG0	P77609	Y2H
fmt__b3288__JW3249	fmt__b3288__JW3249	P23882	P23882	LIT
yfgD__b2495__JW2480	fnr__b1334__JW1328	P76569	P0A9E5	Y2H
ygiT__b3021__JW2989	fnr__b1334__JW1328	Q46864	P0A9E5	Y2H
lrp__b0889__JW0872	folA__b0048__JW0047	P0ACJ0	P0ABQ4	Y2H
fdx__b2525__JW2509	fpr__b3924__JW3895	P0A9R4	P28861	LIT
fldA__b0684__JW0671	fpr__b3924__JW3895	P61949	P28861	LIT
gspH__b3329__JW3291	frc__b2374__JW2371	P41443	P69902	Y2H
nadE__b1740__JW1729	frc__b2374__JW2371	P18843	P69902	LIT
artP__b0864__JW0848	frdB__b4153__JW4114	P0AAF6	P0AC47	Y2H
frdA__b4154__JW4115	frdB__b4153__JW4114	P00363	P0AC47	LIT
mutT__b0099__JW0097	frdB__b4153__JW4114	P08337	P0AC47	Y2H
frlD__b3374__JW3337	frlD__b3374__JW3337	P45543	P45543	Y2H
ebgA__b3076__JW5511	frmA__b0356__JW0347	P06864	P25437	Y2H
fliK__b1943__JW1927	frmA__b0356__JW0347	P52614	P25437	Y2H
frmA__b0356__JW0347	frmA__b0356__JW0347	P25437	P25437	Y2H
ahpC__b0605__JW0598	frr__b0172__JW0167	P0AE08	P0A805	Y2H
atpA__b3734__JW3712	frr__b0172__JW0167	P0ABB0	P0A805	Y2H
dnaN__b3701__JW3678	frr__b0172__JW0167	P0A988	P0A805	Y2H
entA__b0596__JW0588	frr__b0172__JW0167	P15047	P0A805	Y2H
fdx__b2525__JW2509	frr__b0172__JW0167	P0A9R4	P0A805	Y2H
frr__b0172__JW0167	frr__b0172__JW0167	P0A805	P0A805	Y2H
fusA__b3340__JW3302	frr__b0172__JW0167	P0A6M8	P0A805	LIT
galE__b0759__JW0742	frr__b0172__JW0167	P09147	P0A805	Y2H
galK__b0757__JW0740	frr__b0172__JW0167	P0A6T3	P0A805	Y2H
gatB__b2093__JW2077	frr__b0172__JW0167	P37188	P0A805	Y2H
gcvR__b2479__JW2464	frr__b0172__JW0167	P0A9I3	P0A805	Y2H
gloA__b1651__JW1643	frr__b0172__JW0167	P0AC81	P0A805	Y2H
glxR__b0509__JW0497	frr__b0172__JW0167	P77161	P0A805	Y2H
lsrG__b1518__JW1511	frr__b0172__JW0167	P64461	P0A805	Y2H
mhpB__b0348__JW0339	frr__b0172__JW0167	P0ABR9	P0A805	Y2H
ndk__b2518__JW2502	frr__b0172__JW0167	P0A763	P0A805	Y2H
NoData__b0229__JW5811	frr__b0172__JW0167	NoData	P0A805	Y2H
osmC__b1482__JW1477	frr__b0172__JW0167	P0C0L2	P0A805	Y2H
rbsA__b3749__JW3728	frr__b0172__JW0167	P04983	P0A805	Y2H
rplK__b3983__JW3946	frr__b0172__JW0167	P0A7J7	P0A805	Y2H_LIT
truA__b2318__JW2315	frr__b0172__JW0167	P07649	P0A805	Y2H
ybdH__b0599__JW0592	frr__b0172__JW0167	P45579	P0A805	Y2H
ydcY__b1446__JW1441	frr__b0172__JW0167	P64455	P0A805	Y2H
yecI__b1902__JW1890	frr__b0172__JW0167	P0A9A2	P0A805	Y2H
yeeU__b2004__JW1986	frr__b0172__JW0167	P76364	P0A805	Y2H
yeeW__b2006__JW1988	frr__b0172__JW0167	P64526	P0A805	Y2H
yffB__b2471__JW2455	frr__b0172__JW0167	P24178	P0A805	Y2H
yfiA__b2597__JW2578	frr__b0172__JW0167	P0AD49	P0A805	Y2H
yjcB__b4060__JW5718	frr__b0172__JW0167	P32700	P0A805	Y2H
ygjR__b3087__JW3058	frsA__b0239__JW0229	P42599	P04335	Y2H
lolE__b1118__JW1104	fruA__b2167__JW2154	P75958	P20966	Y2H
fruB__b2169__JW2156	fruB__b2169__JW2156	P69811	P69811	Y2H
groL__b4143__JW4103	fruK__b2168__JW2155	P0A6F5	P0AEW9	LIT
fruR__b0080__JW0078	fruR__b0080__JW0078	P0ACP1	P0ACP1	Y2H
groL__b4143__JW4103	frvR__b3897__JW3868	P0A6F5	P32152	LIT
nadE__b1740__JW1729	frwB__b3950__JW3922	P18843	P69816	LIT
ppk__b2501__JW2486	frwD__b3953__JW3925	P0A7B1	P32676	Y2H
yijO__b3954__JW3926	frwD__b3953__JW3925	P32677	P32676	Y2H
lpxB__b0182__JW0177	fsaB__b3946__JW3918	P10441	P32669	Y2H
ftsA__b0094__JW0092	ftsA__b0094__JW0092	P0ABH0	P0ABH0	LIT
ftsI__b0084__JW0082	ftsA__b0094__JW0092	P0AD68	P0ABH0	LIT
ftsN__b3933__JW3904	ftsA__b0094__JW0092	P29131	P0ABH0	LIT
ftsQ__b0093__JW0091	ftsA__b0094__JW0092	P06136	P0ABH0	LIT
ftsZ__b0095__JW0093	ftsA__b0094__JW0092	P0A9A6	P0ABH0	LIT
ymgF__b4520__JW1156	ftsA__b0094__JW0092	NoData	P0ABH0	LIT
ftsI__b0084__JW0082	ftsB__b2748__JW2718	P0AD68	P0A6S5	LIT
ftsN__b3933__JW3904	ftsB__b2748__JW2718	P29131	P0A6S5	LIT
ymgF__b4520__JW1156	ftsB__b2748__JW2718	NoData	P0A6S5	LIT
ftsX__b3462__JW3427	ftsE__b3463__JW3428	P0AC30	P0A9R7	LIT
hsdS__b4348__JW4311	ftsH__b3178__JW3145	P05719	P0AAI3	LIT
ftsN__b3933__JW3904	ftsI__b0084__JW0082	P29131	P0AD68	LIT
ftsW__b0089__JW0087	ftsI__b0084__JW0082	P0ABG4	P0AD68	LIT
murC__b0091__JW0089	ftsI__b0084__JW0082	P17952	P0AD68	Y2H
ymgF__b4520__JW1156	ftsI__b0084__JW0082	NoData	P0AD68	LIT
aceE__b0114__JW0110	ftsK__b0890__JW0873	P0AFG8	P46889	LIT
ftsK__b0890__JW0873	ftsK__b0890__JW0873	P46889	P46889	LIT
ftsB__b2748__JW2718	ftsL__b0083__JW0081	P0A6S5	P0AEN4	Y2H_LIT
ftsI__b0084__JW0082	ftsL__b0083__JW0081	P0AD68	P0AEN4	LIT
ftsN__b3933__JW3904	ftsL__b0083__JW0081	P29131	P0AEN4	LIT
ftsW__b0089__JW0087	ftsL__b0083__JW0081	P0ABG4	P0AEN4	LIT
ymgF__b4520__JW1156	ftsL__b0083__JW0081	NoData	P0AEN4	LIT
ftsN__b3933__JW3904	ftsN__b3933__JW3904	P29131	P29131	LIT
ftsQ__b0093__JW0091	ftsN__b3933__JW3904	P06136	P29131	Y2H_LIT
ftsW__b0089__JW0087	ftsN__b3933__JW3904	P0ABG4	P29131	LIT
ftsB__b2748__JW2718	ftsQ__b0093__JW0091	P0A6S5	P06136	LIT
ftsI__b0084__JW0082	ftsQ__b0093__JW0091	P0AD68	P06136	LIT
ftsK__b0890__JW0873	ftsQ__b0093__JW0091	P46889	P06136	LIT
ftsL__b0083__JW0081	ftsQ__b0093__JW0091	P0AEN4	P06136	LIT
ftsQ__b0093__JW0091	ftsQ__b0093__JW0091	P06136	P06136	LIT
secA__b0098__JW0096	ftsQ__b0093__JW0091	P10408	P06136	LIT
secY__b3300__JW3262	ftsQ__b0093__JW0091	P0AGA2	P06136	LIT
ymgF__b4520__JW1156	ftsQ__b0093__JW0091	NoData	P06136	LIT
ftsA__b0094__JW0092	ftsX__b3462__JW3427	P0ABH0	P0AC30	LIT
ftsQ__b0093__JW0091	ftsX__b3462__JW3427	P06136	P0AC30	LIT
ymgF__b4520__JW1156	ftsX__b3462__JW3427	NoData	P0AC30	LIT
ddlA__b0381__JW0372	ftsZ__b0095__JW0093	P0A6J8	P0A9A6	Y2H
ftsQ__b0093__JW0091	ftsZ__b0095__JW0093	P06136	P0A9A6	Y2H
mhpB__b0348__JW0339	ftsZ__b0095__JW0093	P0ABR9	P0A9A6	Y2H
mpl__b4233__JW4192	ftsZ__b0095__JW0093	P37773	P0A9A6	Y2H
murD__b0088__JW0086	ftsZ__b0095__JW0093	P14900	P0A9A6	Y2H
ybdH__b0599__JW0592	ftsZ__b0095__JW0093	P45579	P0A9A6	Y2H
yfgB__b2517__JW2501	ftsZ__b0095__JW0093	P36979	P0A9A6	Y2H
zipA__b2412__JW2404	ftsZ__b0095__JW0093	P77173	P0A9A6	Y2H_LIT
fucI__b2802__JW2773	fucI__b2802__JW2773	P69922	P69922	Y2H_LIT
fucK__b2803__JW2774	fucK__b2803__JW2774	P11553	P11553	Y2H
fucO__b2799__JW2770	fucO__b2799__JW2770	P0A9S1	P0A9S1	Y2H
fecB__b4290__JW4250	fucR__b2805__JW2776	P15028	P0ACK8	Y2H
fumA__b1612__JW1604	fumA__b1612__JW1604	P0AC33	P0AC33	Y2H
dusC__b2140__JW2128	fumC__b1611__JW1603	P33371	P05042	LIT
nadE__b1740__JW1729	fur__b0683__JW0669	P18843	P0A9A9	LIT
thrC__b0004__JW0003	fusA__b3340__JW3302	P00934	P0A6M8	LIT
topA__b1274__JW1266	gabP__b2663__JW2638	P06612	P25527	LIT
galE__b0759__JW0742	galE__b0759__JW0742	P09147	P09147	Y2H_LIT
galU__b1236__JW1224	galF__b2042__JW2027	P0AEP3	P0AAB6	LIT
galR__b2837__JW2805	galR__b2837__JW2805	P03024	P03024	Y2H_LIT
galR__b2837__JW2805	galS__b2151__JW2138	P03024	P25748	Y2H_LIT
nadE__b1740__JW1729	galT__b0758__JW0741	P18843	P09148	LIT
purU__b1232__JW1220	galU__b1236__JW1224	P37051	P0AEP3	LIT
cheZ__b1881__JW1870	gapA__b1779__JW1768	P0A9H9	P0A9B2	LIT
araC__b0064__JW0063	garD__b3128__JW3097	P0A9E0	P39829	Y2H
rsgA__b4161__JW4122	garK__b3124__JW3093	P39286	P23524	LIT
cca__b3056__JW3028	gatB__b2093__JW2077	P06961	P37188	LIT
ynbC__b1410__JW1407	gatB__b2093__JW2077	P76092	P37188	LIT
dnaJ__b0015__JW0014	gatY__b2096__JW5343	P08622	P37192	LIT
groL__b4143__JW4103	gatY__b2096__JW5343	P0A6F5	P37192	LIT
malT__b3418__JW3381	gatY__b2096__JW5343	P06993	P37192	LIT
tufB__b3980__JW3943	gatY__b2096__JW5343	P0A6N1	P37192	LIT
groL__b4143__JW4103	gatZ__b2095__JW2082	P0A6F5	P37191	LIT
secA__b0098__JW0096	gatZ__b2095__JW2082	P10408	P37191	LIT
ycfH__b1100__JW1086	gcd__b0124__JW0120	P0AFQ7	P15877	LIT
groL__b4143__JW4103	gcvA__b2808__JW2779	P0A6F5	P0A9F6	LIT
rpoA__b3295__JW3257	gcvA__b2808__JW2779	P0A7Z4	P0A9F6	LIT
gcvP__b2903__JW2871	gcvH__b2904__JW2872	P33195	P0A6T9	Y2H
gcvT__b2905__JW2873	gcvH__b2904__JW2872	P27248	P0A6T9	LIT
helD__b0962__JW0945	gcvP__b2903__JW2871	P15038	P33195	LIT
holA__b0640__JW0635	gcvP__b2903__JW2871	P28630	P33195	LIT
gcvA__b2808__JW2779	gcvR__b2479__JW2464	P0A9F6	P0A9I3	LIT
yieN__b3746__JW3725	ggt__b3447__JW3412	P31473	P18956	LIT
gyrA__b2231__JW2225	gidB__b3740__JW3718	P0AES4	P0A6U5	LIT
atpG__b3733__JW3711	glcC__b2980__JW2947	P0ABA6	P0ACL5	Y2H
citB__b0620__JW0612	glcC__b2980__JW2947	P0AEF4	P0ACL5	Y2H
citX__b0614__JW0606	glcC__b2980__JW2947	P0A6G5	P0ACL5	Y2H
cytR__b3934__JW3905	glcC__b2980__JW2947	P0ACN7	P0ACL5	Y2H
dmsA__b0894__JW5118	glcC__b2980__JW2947	P18775	P0ACL5	Y2H
entB__b0595__JW0587	glcC__b2980__JW2947	P0ADI4	P0ACL5	Y2H
eptB__b3546__JW5660	glcC__b2980__JW2947	P37661	P0ACL5	Y2H
fldA__b0684__JW0671	glcC__b2980__JW2947	P61949	P0ACL5	Y2H
fliJ__b1942__JW1926	glcC__b2980__JW2947	P52613	P0ACL5	Y2H
frlR__b3375__JW5698	glcC__b2980__JW2947	P45544	P0ACL5	Y2H
frwB__b3950__JW3922	glcC__b2980__JW2947	P69816	P0ACL5	Y2H
glnL__b3869__JW3840	glcC__b2980__JW2947	P0AFB5	P0ACL5	Y2H
hemL__b0154__JW0150	glcC__b2980__JW2947	P23893	P0ACL5	Y2H
hepA__b0059__JW0058	glcC__b2980__JW2947	P60240	P0ACL5	Y2H
holA__b0640__JW0635	glcC__b2980__JW2947	P28630	P0ACL5	Y2H
hslR__b3400__JW3363	glcC__b2980__JW2947	P0ACG8	P0ACL5	Y2H
mhpF__b0351__JW0342	glcC__b2980__JW2947	P77580	P0ACL5	Y2H
mioC__b3742__JW3720	glcC__b2980__JW2947	P03817	P0ACL5	Y2H
mltB__b2701__JW2671	glcC__b2980__JW2947	P41052	P0ACL5	Y2H
moaE__b0785__JW0768	glcC__b2980__JW2947	P30749	P0ACL5	Y2H
mukE__b0923__JW0906	glcC__b2980__JW2947	P22524	P0ACL5	Y2H
murE__b0085__JW0083	glcC__b2980__JW2947	P22188	P0ACL5	Y2H
murI__b3967__JW5550	glcC__b2980__JW2947	P22634	P0ACL5	Y2H
priC__b0467__JW0456	glcC__b2980__JW2947	P23862	P0ACL5	Y2H
ptsI__b2416__JW2409	glcC__b2980__JW2947	P08839	P0ACL5	Y2H
ptsN__b3204__JW3171	glcC__b2980__JW2947	P69829	P0ACL5	Y2H
ptsP__b2829__JW2797	glcC__b2980__JW2947	P37177	P0ACL5	Y2H
recJ__b2892__JW2860	glcC__b2980__JW2947	P21893	P0ACL5	Y2H
rnk__b0610__JW0602	glcC__b2980__JW2947	P0AFW4	P0ACL5	Y2H
rpoE__b2573__JW2557	glcC__b2980__JW2947	P0AGB6	P0ACL5	Y2H
treR__b4241__JW4200	glcC__b2980__JW2947	P36673	P0ACL5	Y2H
ubiG__b2232__JW2226	glcC__b2980__JW2947	P17993	P0ACL5	Y2H
uvrB__b0779__JW0762	glcC__b2980__JW2947	P0A8F8	P0ACL5	Y2H
vsr__b1960__JW1943	glcC__b2980__JW2947	P09184	P0ACL5	Y2H
xerC__b3811__JW3784	glcC__b2980__JW2947	P0A8P6	P0ACL5	Y2H
xerD__b2894__JW2862	glcC__b2980__JW2947	P0A8P8	P0ACL5	Y2H
yaiA__b0389__JW0380	glcC__b2980__JW2947	P0AAN5	P0ACL5	Y2H
ybcY__b0562__JW0551	glcC__b2980__JW2947	NoData	P0ACL5	Y2H
ybgF__b0742__JW0732	glcC__b2980__JW2947	P45955	P0ACL5	Y2H
ybjM__b0848__JW0832	glcC__b2980__JW2947	P64439	P0ACL5	Y2H
ycbG__b0956__JW0939	glcC__b2980__JW2947	P0A8N0	P0ACL5	Y2H
ycbW__b0946__JW5125	glcC__b2980__JW2947	P75862	P0ACL5	Y2H
ycdC__b1013__JW0998	glcC__b2980__JW2947	P0ACU2	P0ACL5	Y2H
ydjQ__b1741__JW1730	glcC__b2980__JW2947	P76213	P0ACL5	Y2H
yedS__b1966__JW1949	glcC__b2980__JW2947	NoData	P0ACL5	Y2H
yeiC__b2166__JW2153	glcC__b2980__JW2947	P30235	P0ACL5	Y2H
yeiW__b4502__JW5361	glcC__b2980__JW2947	P0AFT8	P0ACL5	Y2H
yfbP__b2275__JW2270	glcC__b2980__JW2947	P76486	P0ACL5	Y2H
yfcN__b2331__JW2328	glcC__b2980__JW2947	P0A8B2	P0ACL5	Y2H
ygfB__b2909__JW5473	glcC__b2980__JW2947	P0A8C4	P0ACL5	Y2H
ygiT__b3021__JW2989	glcC__b2980__JW2947	Q46864	P0ACL5	Y2H
yiaJ__b3574__JW3546	glcC__b2980__JW2947	P37671	P0ACL5	Y2H
yibT__b4554__JW3576	glcC__b2980__JW2947	Q2M7R5	P0ACL5	Y2H
yjjK__b4391__JW4354	glcC__b2980__JW2947	P0A9W3	P0ACL5	Y2H
yqeI__b2847__JW2815	glcC__b2980__JW2947	Q46942	P0ACL5	Y2H
yrdD__b3283__JW5949	glcC__b2980__JW2947	NoData	P0ACL5	Y2H
groL__b4143__JW4103	glf__b2036__JW2021	P0A6F5	P37747	LIT
tdcD__b3115__JW5806	glf__b2036__JW2021	P11868	P37747	LIT
groL__b4143__JW4103	glgA__b3429__JW3392	P0A6F5	P0A6U8	LIT
pncB__b0931__JW0914	glgC__b3430__JW3393	P18133	P0A6V1	Y2H
ptsG__b1101__JW1087	glk__b2388__JW2385	P69786	P0A6V8	LIT
tufB__b3980__JW3943	glmM__b3176__JW3143	P0A6N1	P31120	LIT
yjhG__b4297__JW4259	glmM__b3176__JW3143	P39358	P31120	LIT
glmU__b3730__JW3708	glmU__b3730__JW3708	P0ACC7	P0ACC7	Y2H
pta__b2297__JW2294	glmU__b3730__JW3708	P0A9M8	P0ACC7	LIT
groL__b4143__JW4103	glnA__b3870__JW3841	P0A6F5	P0A9C5	LIT
glnB__b2553__JW2537	glnB__b2553__JW2537	P0A9Z1	P0A9Z1	Y2H_LIT
glnB__b2553__JW2537	glnD__b0167__JW0162	P0A9Z1	P27249	Y2H_LIT
glnL__b3869__JW3840	glnD__b0167__JW0162	P0AFB5	P27249	Y2H
glnB__b2553__JW2537	glnE__b3053__JW3025	P0A9Z1	P30870	LIT
evgA__b2369__JW2366	glnG__b3868__JW3839	P0ACZ4	P0AFB8	Y2H
glnG__b3868__JW3839	glnG__b3868__JW3839	P0AFB8	P0AFB8	LIT
glnL__b3869__JW3840	glnG__b3868__JW3839	P0AFB5	P0AFB8	Y2H_LIT
ydcP__b1435__JW1431	glnH__b0811__JW0796	P76104	P0AEQ3	LIT
glnB__b2553__JW2537	glnK__b0450__JW0440	P0A9Z1	P0AC55	Y2H_LIT
glnD__b0167__JW0162	glnK__b0450__JW0440	P27249	P0AC55	Y2H_LIT
glnK__b0450__JW0440	glnK__b0450__JW0440	P0AC55	P0AC55	Y2H_LIT
murD__b0088__JW0086	glnK__b0450__JW0440	P14900	P0AC55	Y2H
amtB__b0451__JW0441	glnL__b3869__JW3840	P69681	P0AFB5	Y2H
glnB__b2553__JW2537	glnL__b3869__JW3840	P0A9Z1	P0AFB5	Y2H_LIT
glnK__b0450__JW0440	glnL__b3869__JW3840	P0AC55	P0AFB5	Y2H_LIT
glnL__b3869__JW3840	glnL__b3869__JW3840	P0AFB5	P0AFB5	Y2H_LIT
yjgD__b4255__JW4212	glnL__b3869__JW3840	P0AF90	P0AFB5	Y2H
dnaK__b0014__JW0013	glnQ__b0809__JW0794	P0A6Y8	P10346	LIT
glnQ__b0809__JW0794	glnQ__b0809__JW0794	P10346	P10346	Y2H
rbsA__b3749__JW3728	glnQ__b0809__JW0794	P04983	P10346	Y2H
lpxD__b0179__JW0174	glnS__b0680__JW0666	P21645	P00962	LIT
dnaK__b0014__JW0013	gloA__b1651__JW1643	P0A6Y8	P0AC81	LIT
birA__b3973__JW3941	glpB__b2242__JW2236	P06709	P13033	LIT
ybdL__b0600__JW0593	glpB__b2242__JW2236	P77806	P13033	Y2H
uvrB__b0779__JW0762	glpC__b2243__JW2237	P0A8F8	P0A996	Y2H
citD__b0617__JW0609	glpD__b3426__JW3389	P69330	P13035	LIT
groL__b4143__JW4103	glpE__b3425__JW3388	P0A6F5	P0A6V5	LIT
crr__b2417__JW2410	glpK__b3926__JW3897	P69783	P0A6F3	LIT
srlB__b2704__JW2673	glpK__b3926__JW3897	P05706	P0A6F3	LIT
flgK__b1082__JW1069	glpQ__b2239__JW2233	P33235	P09394	LIT
glyQ__b3560__JW3531	glpQ__b2239__JW2233	P00960	P09394	LIT
ttdA__b3061__JW3033	glpR__b3423__JW3386	P05847	P0ACL0	Y2H_LIT
lolD__b1117__JW5162	glpX__b3925__JW3896	P75957	P0A9C9	Y2H
dsbG__b0604__JW0597	gltA__b0720__JW0710	P77202	P0ABH7	LIT
gltA__b0720__JW0710	gltA__b0720__JW0710	P0ABH7	P0ABH7	Y2H
yegS__b2086__JW2070	gltA__b0720__JW0710	P76407	P0ABH7	Y2H
gltD__b3213__JW3180	gltB__b3212__JW3179	P09832	P09831	LIT
gltI__b0655__JW5092	gltI__b0655__JW5092	P37902	P37902	Y2H
gltI__b0655__JW5092	gltL__b0652__JW0647	P37902	P0AAG3	Y2H
glyS__b3559__JW3530	glyQ__b3560__JW3531	P00961	P00960	Y2H
lldD__b3605__JW3580	glyQ__b3560__JW3531	P33232	P00960	LIT
tufB__b3980__JW3943	glyQ__b3560__JW3531	P0A6N1	P00960	LIT
yabP__b0056__JW0055	glyQ__b3560__JW3531	P39220	P00960	Y2H
yfcN__b2331__JW2328	glyQ__b3560__JW3531	P0A8B2	P00960	Y2H
glyQ__b3560__JW3531	glyS__b3559__JW3530	P00960	P00961	Y2H
groL__b4143__JW4103	glyS__b3559__JW3530	P0A6F5	P00961	LIT
ppk__b2501__JW2486	gmhB__b0200__JW0196	P0A7B1	P63228	Y2H
gnd__b2029__JW2011	gnd__b2029__JW2011	P00350	P00350	Y2H
gnsA__b4517__JW0976	gnsA__b4517__JW0976	P0AC92	P0AC92	Y2H
fecB__b4290__JW4250	gnsB__b1550__JW5253	P15028	P77695	Y2H
nirB__b3365__JW3328	gntY__b3414__JW3377	P08201	P63020	Y2H
nadE__b1740__JW1729	gor__b3500__JW3467	P18843	P06715	LIT
dnaN__b3701__JW3678	gph__b3385__JW3348	P0A988	P32662	LIT
flgH__b1079__JW5153	gph__b3385__JW3348	P0A6S0	P32662	LIT
glpQ__b2239__JW2233	gph__b3385__JW3348	P09394	P32662	LIT
rpsS__b3316__JW3278	gph__b3385__JW3348	P0A7U3	P32662	LIT
ubiE__b3833__JW5581	gph__b3385__JW3348	P0A887	P32662	Y2H
ugpQ__b3449__JW3414	gph__b3385__JW3348	P10908	P32662	Y2H
yggH__b2960__JW2927	gph__b3385__JW3348	P0A8I5	P32662	LIT
gpmA__b0755__JW0738	gpmI__b3612__JW3587	P62707	P37689	LIT
gpsA__b3608__JW3583	gpsA__b3608__JW3583	P0A6S7	P0A6S7	Y2H
yqiA__b3031__JW2999	gpsA__b3608__JW3583	P0A8Z7	P0A6S7	Y2H
blc__b4149__JW4110	gpt__b0238__JW0228	P0A901	P0A9M5	LIT
dnaN__b3701__JW3678	groL__b4143__JW4103	P0A988	P0A6F5	LIT
groL__b4143__JW4103	groL__b4143__JW4103	P0A6F5	P0A6F5	LIT
groS__b4142__JW4102	groL__b4143__JW4103	P0A6F9	P0A6F5	LIT
holA__b0640__JW0635	groL__b4143__JW4103	P28630	P0A6F5	LIT
tufB__b3980__JW3943	groL__b4143__JW4103	P0A6N1	P0A6F5	LIT
clpB__b2592__JW2573	grpE__b2614__JW2594	P63284	P09372	LIT
dnaK__b0014__JW0013	grpE__b2614__JW2594	P0A6Y8	P09372	LIT
flgK__b1082__JW1069	grpE__b2614__JW2594	P33235	P09372	LIT
groL__b4143__JW4103	grpE__b2614__JW2594	P0A6F5	P09372	Y2H_LIT
holA__b0640__JW0635	grpE__b2614__JW2594	P28630	P09372	LIT
rpsG__b3341__JW3303	grpE__b2614__JW2594	P02359	P09372	LIT
thiG__b3991__JW5549	grpE__b2614__JW2594	P30139	P09372	LIT
