thiK	1.538747837
hisS	1.536459623
nhaR	1.500638423
dipZ	1.50019649
mukB	1.494426201
leuS	1.477518006
secG	1.464140015
gpmA	1.458952329
glnL	1.45527011
hisG	1.452992407
cysS	1.452004105
aroE	1.444272203
nrdG	1.436696267
caiC	1.436012928
lnt	1.434430994
rseP	1.425247489
trpT	1.408991659
proA	1.39681192
lpdA	1.393810204
ksgA	1.393135837
oppB	1.36815853
tilS	1.33716486
pdxK	1.325397941
sbcD	1.318719857
nadE	1.314976326
entF	1.312725307
xerC	1.292951745
mutL	1.288440419
lipB	1.286646228
lolB	1.285463303
thyA	1.27158614
pbpG	1.256665743
dnaA	1.249154724
potC	1.246969073
spr	1.240516112
rsmC	1.239583992
pheA	1.222648245
bcsA	1.221906764
murF	1.218017288
pyrE	1.212977032
pntA	1.201547727
recF	1.161981834
psd	1.151115025
pntB	1.150587746
letA	1.115193201
etpD	1.110376978
degS	1.085506624
cyaA	1.048646708
pagP	1.048340867
cdsA	1.034851107
uvrC	1.029359299
murC	0.921748309
hemC	-1.074378696
fadR	-1.106071883
nlpE	-1.180363531
def	-1.189666243
ssrA	-1.19004841
queC	-1.205400787
Ler	-1.229519527
yebE	-1.246581735
serW	-1.281271518
etpH	-1.285608021
pepN	-1.289120163
dksA	-1.316843832
etpF	-1.323734703
nagB	-1.329825737
glk	-1.337351321
flgK	-1.347954038
hlyA	-1.360986911
mgsA	-1.369616432
espP	-1.40593095
potE	-1.419951124
glgA	-1.420880462
ftsI	-1.448019455
gcvT	-1.466955615
grxA	-1.474371535
ccrB	-1.487031348
potG	-1.501499422
dkgA	-1.502008445
dinD	-1.520943019
etpK	-1.541963326
hlyC	-1.553363873
spf	-1.568888717
mobA	-1.571922865
cysN	-1.592917788
moaA	-1.607551097
rnpB	-1.646078255
chaB	-1.658372361
emrD	-1.717651526
nagA	-1.720846028
frlB	-1.756186803
bioD	-1.77660035
cadB	-1.77948422
flgA	-1.781930563
ompR	-1.838703096
etpL	-1.841679593
lacY	-1.842731428
rraA	-1.940811359
rrlH	-1.949932882
rrlG	-1.96491285
decR	-1.969791414
hlyD	-1.978873205
fxsA	-2.011883223
argX	-2.023624023
ushA	-2.028596696
metF	-2.040267742
ftrA	-2.043624716
rbn	-2.074677499
gutQ	-2.117730795
etpM	-2.145670561
etpN	-2.162985341
ribB	-2.199040542
zntB	-2.214028968
sucC	-2.215275531
cpdB	-2.238310328
psiF	-2.244959865
glgC	-2.246771696
